City,Duration,Online,Career_Outcomes,Duration_Time,Prerequisite_3,Course,Offline,Full_Time,Prerequisite_2,Distance,Prerequisite_1,Availability,Currency_Time,Country,Int_Fees,Prerequisite_2_grade,Prerequisite_1_grade,Part_Time,University,Course_Lang,Local_Fees,Description,Currency,Remarks,Blended,Level_Code,Prerequisite_3_grade,Website,Face_to_Face,Faculty
Online,3,yes,plan and effectively manage an independent project on sustainable energy topics at a professional engineering level; / locate and critically review scientific and engineering literature and apply engineering practices and research methods to conduct sustainable energy projects and evaluate their results; and / communicate findings effectively to a professional audience,Years,,Juris Doctor,no,no,,no,IELTS,A,year,,"46,080",,6.5,no,RMIT University,English,,"If you are a graduate who is passionate about law and justice, our Juris Doctor is your entry point to the legal profession.   Build real-world skills such as research, advocacy, negotiation and how to work with clients, in a course ranked #1 in Victoria for skills development in law.
 Take advantage of RMIT’s deep industry connections. Choose from a range of clinical, judicial, research and international study opportunities.   Work on law reform projects with our industry partners including RMIT’s Centre for Innovative Justice and its partners in community based legal services.   You will build skills and expertise in the critical areas of practice. Under the supervision of legal professionals you will engage in a variety of simulations to develop practical legal capabilities.   In three years, the RMIT Juris Doctor will transform you from a non-law graduate into a legal professional. We will develop your practical and theoretical capabilities through a unique approach that we call ‘bringing law to life’. Through our deep industry connections, you will gain valuable legal experiences that prepare you to contribute in a rapidly changing world.
 A feature of this course is the focus on Innovative Justice giving students the knowledge and skills to capitalise on emerging opportunities in the changing world of the law.
 The RMIT JD is structured to bring the study of law to life by offering an amalgamation of practical, theoretical and research opportunities. You will develop a full range of contemporary legal skills. You will study Australian and international substantive law, focussing on all core areas of legal practice including commercial law, international law and innovation in the justice system. Students can undertake 3 years of full-time study, or on a part-time basis. Online learning options are also available.    At RMIT, we understand the importance of providing students with real-world experiences and the skills to succeed in a rapidly evolving job market. RMIT’s focus on industry-based, practical learning has seen our law courses ranked #1 in Victoria for skills development and among the top 10 for employer reputation in Australia. RMIT is also recognised as being among the top 250 institutions in the world for the teaching of Law.   ",AUD,[],no,DPG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc161,no,Law
Melbourne,2,no,radiotherapy / medical imaging / nuclear medicine / radiation protection / mining and prospecting / government regulatory agencies / associated research activities of non-hospital institutions.,Years,,Master of Medical Physics,no,yes,,no,IELTS,A,year,,"37,440",,6.5,yes,RMIT University,English,,Medical physicists oversee the safe use of radiation and other physical phenomena for the diagnosis and treatment of cancer and other diseases.,AUD,[],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc215,no,Medical and Nursing
Melbourne,2,no,radiotherapy / medical imaging / nuclear medicine / radiation protection / mining and prospecting / government regulatory agencies / associated research activities of non-hospital institutions.,Years,,"Master of Animation, Games and Interactivity",no,yes,,no,IELTS,A,year,,"32,640",,6.5,yes,RMIT University,English,,"Specialists in animation, games, and interactive media find creative and technical roles in studios around the globe.",AUD,[],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc232,no,Humanities and Social Science
Bundoora,2,no,"hospital laboratories / private pathology laboratories / state health laboratories / universities
 / as technical support specialists in commercial companies",Years,,Master of Laboratory Medicine,yes,yes,,no,IELTS,A,year,,"39,360",,6.5,yes,RMIT University,English,,"Graduates are employed as medical scientists in the field of diagnostic pathology, as medical researchers, or as clinical investigators.",AUD,[],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc158,yes,Medical and Nursing
Melbourne,2,no,"hospital laboratories / private pathology laboratories / state health laboratories / universities
 / as technical support specialists in commercial companies",Years,,Master of Environmental Science and Technology,no,yes,,no,IELTS,D,year,,,,6.5,yes,RMIT University,English,,"Our world is facing an ever-increasing number of environmental issues. Solving these problems requires experts who can provide ethical, high-level specialist advice to industry, government and community sectors. The Master of Environmental Science and Technology provides an in-depth understanding of relevant methods and technologies to equip you with the skills to manage environmental projects. Some of these specialist skills include: Development of these attributes will be integral to your progression through this program which has been designed to give you a competitive edge in the current job market. A research project toward during the final year of your studies will consolidate your learning.",AUD,[],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc191,no,Computer Science & Information Technology
Melbourne,2,no,"hospital laboratories / private pathology laboratories / state health laboratories / universities
 / as technical support specialists in commercial companies",Years,,Master of Supply Chain and Logistics Management,no,yes,,no,IELTS,A,year,,"39,360",,6.5,yes,RMIT University,English,,"This comprehensive Masters program prepares you to design and scale supply chains on a global level and develop the project management and negotiation skills required to solve complex business problems.
",AUD,['int_fee is: not applicable'],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc198,no,Computer Science & Information Technology
Melbourne,2,no,"project manager / marketing specialist / business analyst / social technology strategist / events coordinator / logistics manager / business administrator / and positions in banking, insurance and stockbroking.",Years,,Master of Commerce,no,yes,,no,IELTS,A,year,,"40,320",,6.5,yes,RMIT University,English,,"Whether you’re looking for a career change or want to gain a deeper understanding of core business functions, this masters program is designed with evolving, global workplaces in mind.
",AUD,[],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc205,no,Business & Commerce & Finance & Accounting
Melbourne,2,no,"project manager / marketing specialist / business analyst / social technology strategist / events coordinator / logistics manager / business administrator / and positions in banking, insurance and stockbroking.",Years,,Master of Photography,no,yes,,no,IELTS,A,year,,"32,640",,6.5,no,RMIT University,English,,"The Master of Photography is designed for professional photographers, artists and creative industry professionals to advance their skills and enliven their practice. It is the only  of its kind in Australia. The role of the photographer is evolving, particularly in relation to imaging technologies and emerging media devices, their impact on society and use in photography.   In this course, you will utilise studio-based learning and independent research in a dynamic environment designed to help you build on your natural and taught creativity.  Through your autonomous and practice-led development, you will demonstrate expert judgment in analysing and applying photographic theories, practices and technologies. The capstone experience of this program is a major photographic project that is publicly presented for critical review. Graduates will be prepared for a career in photography, able to provide insight and leadership to research, and produce photographic images and knowledge to a global media economy.",AUD,[],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc270,no,Mass Communication & Media
Bundoora,3,no,"project manager / marketing specialist / business analyst / social technology strategist / events coordinator / logistics manager / business administrator / and positions in banking, insurance and stockbroking.",Years,,Master of Applied Science (Acupuncture),yes,no,,no,IELTS,D,year,,,,6.5,yes,RMIT University,English,,"If you're a healthcare practitioner, this program offers you a unique opportunity for clinical education that integrates Chinese acupuncture with modern neurophysiology and evidence-based medicine. This program also qualifies you for registration with the Australian Health Practitioner Regulation Agency (APHRA). Developed more than 20 years ago, RMIT’s Master of Applied Science (Acupuncture) program was the first and now still the only accredited master’s degree in acupuncture in Australia. It’s structured specifically for health professionals who want to incorporate acupuncture into their treatment approach. The program incorporates Western medicine diagnosis with Chinese medicine theory. A strong focus on evidence-based medicine is combined with the philosophical and cultural aspects of tradtional Chinese medicine. Extensive clinical observation and practice is part of the program, with students having access to RMIT’s Health Sciences Clinic and Chinese medicine hospitals overseas.",AUD,[],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc024,yes,Medical and Nursing
Melbourne,2,no,Producer / Director / Filmmaker / Videographer / Video editor / Digital content developer / Social media marketer / Communications consultant / Visual journalist / Podcaster / Entrepreneur,Years,,Master of Media,no,yes,,no,IELTS,A,year,,"34,560",,6.5,no,RMIT University,English,,"Become a leader in strategic media production by developing your production skills and exploring the global environment. From basic production skills to sophisticated cross-media projects and strategic thinking about media industries, this two-year program offers a variety of entry points depending on your previous qualifications and experience. In the first year, you will be introduced to video, audio and internet media production. In the second year, you will explore complex cross-media projects and develop the sophisticated strategic and leadership skills required to be at the forefront of this evolving industry. You will gain practical industry experience and learn about strategic planning through hands-on projects. This program has a global focus and there will be an opportunity to undertake various research projects with an international context.",AUD,['int_fee is: not applicable'],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc188,no,Mass Communication & Media
Melbourne,2,no,Producer / Director / Filmmaker / Videographer / Video editor / Digital content developer / Social media marketer / Communications consultant / Visual journalist / Podcaster / Entrepreneur,Years,,Master of Nanotechnology and Smart Materials,no,yes,,no,IELTS,D,year,,,,6.5,no,RMIT University,English,,Equip yourself with specialist knowledge and advanced skills in the application and research of nanotechnology and new materials.,AUD,[],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc204,no,Computer Science & Information Technology
Melbourne,2,no,environmentally sustainable design (ESD) / building sustainability assessment / facilities management / energy management / sustainable construction management / building energy engineering / facade engineering / building physics / building services engineering,Years,,Master of Energy Efficient and Sustainable Building,no,yes,,no,IELTS,A,year,,"41,280",,6.5,yes,RMIT University,English,,"Build a career with impact as a designer or engineer on energy efficient, resource smart and sustainable built environment that supports health and well-being.",AUD,['int_fee is: not applicable'],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc209,no,Engineering
Melbourne,2,no,environmentally sustainable design (ESD) / building sustainability assessment / facilities management / energy management / sustainable construction management / building energy engineering / facade engineering / building physics / building services engineering,Years,,Master of Project Management,no,yes,,no,IELTS,A,year,,"41,280",,6.5,yes,RMIT University,English,,"Develop your career in project management with a qualification that's in demand across diverse industries. RMIT’s Master of Project Management will equip you with in-demand management and leadership skills that are essential to companies across all industries. This program is designed for professionals currently working or looking to work in the field of project management. It is particularly relevant for professionals looking to take the next step in their career. This program emphasises the practical application of theory to develop your capacity to respond to current and emerging issues and trends. You will critically engage with project management theory and best practice principles, and evaluate and implement project management strategies using real world project based cases and examples. What you will gain through this program In today’s working environment the skills of the project manager have never been more in demand. A masters degree in project management will help you develop skills that are highly sought after globally in a wide variety of sectors, such as construction, architecture, engineering, information technology, government and events management. You will learn how to run complex projects with a range of stakeholders, managing all phases on time and to budget, and contribute to an increase in business effectiveness. Why study a Master of Project Management at RMIT? Our expert teachers, passionate researchers, connections to industry and strong practical focus means RMIT postgraduates are among the most employable in Australia. RMIT’s strong emphasis on leadership and management including project scoping, scheduling, procurement, entrepreneurship, client relationships and more, you will be well placed to meet and exceed the emerging expectations of employers and industry. As part of your course, you'll have the opportunity to specialise in engineering, information technology, post disaster project management, or general project management. This degree is approved for Centrelink support. A Graduate Diploma exit point is also available.",AUD,[],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc210,no,Business & Commerce & Finance & Accounting
Melbourne,2,no,"federal, state and local government / trade unions / large community sector organisations (like the Salvation Army, the Brotherhood of St Laurence and the Victorian Council of Social Service) / specialist research and policy centres / other organisations such as the Council to Homeless Persons and the Youth Affairs Council of Victoria Inc.",Years,,Master of Public Policy,no,no,,no,IELTS,A,year,,"31,680",,6.5,no,RMIT University,English,,"Combining studies in policy making, evaluation, social research, and ethics, this course equips you to participate in policy advocacy and design-related activities. You will learn how you can contribute to positive policy outcomes, and participate in debates regarding power, politics, and complexity. Taught by leading policy academics and industry professionals, the course reflects the latest debates, issues, and approaches to global, national, and local policy making and development. You'll explore and develop frameworks for issues, such as: Graduates work as policymakers, advocates, and managers in human service, government, and non-government organisations, and, increasingly, in the private and corporate sectors.",AUD,[],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-public-policy-mc216,no,Law
Online,2,yes,be more effective in your current role / obtain promotion to a more senior position / lead exciting new developments in a business setting / contribute more to strategic business planning,Years,,Online Graduate Certificate in Business Administration,no,no,,no,IELTS,A,year,,"4,120",,6.5,no,RMIT University,English,,"RMIT’s online Graduate Certificate in Business Administration exposes you to highly relevant coursework, the latest digital tools and techniques that will ensure you’re prepared to meet change head-on.",AUD,[],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/online/online-graduate-certificate-in-business-administration,no,Business & Commerce & Finance & Accounting
Melbourne,2,no,be more effective in your current role / obtain promotion to a more senior position / lead exciting new developments in a business setting / contribute more to strategic business planning,Years,,Master of Engineering (Electrical and Electronic Engineering),yes,yes,,no,IELTS,A,year,,"39,360",,6.5,yes,RMIT University,English,,"Exciting developments in this field offer excellent career opportunities. This includes advancements in energy generation, distribution, automation and control as well as electronic instrumentation, devices, sensors and communication technologies.",AUD,[],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc180,yes,Engineering
Bundoora,2,no,be more effective in your current role / obtain promotion to a more senior position / lead exciting new developments in a business setting / contribute more to strategic business planning,Years,,Master of Engineering (Electrical and Electronic Engineering),yes,yes,,no,IELTS,A,year,,"39,360",,6.5,yes,RMIT University,English,,"Exciting developments in this field offer excellent career opportunities. This includes advancements in energy generation, distribution, automation and control as well as electronic instrumentation, devices, sensors and communication technologies.",AUD,[],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc180,yes,Engineering
Melbourne,18,no,be more effective in your current role / obtain promotion to a more senior position / lead exciting new developments in a business setting / contribute more to strategic business planning,Months,,Master of Mental Health Nursing,yes,yes,,no,IELTS,D,year,,,,6.5,yes,RMIT University,English,,"The Master of Mental Health Nursing offers registered nurses the opportunity to develop specialty skills in mental health nursing and prepare for advanced clinical leadership roles. To undertake this course, you should be a registered nurse with at least 840 hours experience working in mental health clinical practice or you will be currently completing a graduate year in mental health nursing.  As a student of this course, you'll study advanced individual and group counselling, mental health treatment, contemporary nursing issues, global health, physical health assessment, psychopharmacology, leadership, clinical teaching, mentorship and research. RMIT is one of the longest standing providers of nursing education in Australia and sits at the forefront of nursing education and research. We are also the leading provider of postgraduate mental health nursing education in Australia. Our mental health nursing courses are linked and supported by industry partners and are offered to nurses across Australia working in acute, forensic services, child and adolescent, aged mental health, addictions, homelessness teams and consultation liaison services.",AUD,[],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc268,yes,English
Bundoora,18,no,be more effective in your current role / obtain promotion to a more senior position / lead exciting new developments in a business setting / contribute more to strategic business planning,Months,,Master of Mental Health Nursing,yes,yes,,no,IELTS,D,year,,,,6.5,yes,RMIT University,English,,"The Master of Mental Health Nursing offers registered nurses the opportunity to develop specialty skills in mental health nursing and prepare for advanced clinical leadership roles. To undertake this course, you should be a registered nurse with at least 840 hours experience working in mental health clinical practice or you will be currently completing a graduate year in mental health nursing.  As a student of this course, you'll study advanced individual and group counselling, mental health treatment, contemporary nursing issues, global health, physical health assessment, psychopharmacology, leadership, clinical teaching, mentorship and research. RMIT is one of the longest standing providers of nursing education in Australia and sits at the forefront of nursing education and research. We are also the leading provider of postgraduate mental health nursing education in Australia. Our mental health nursing courses are linked and supported by industry partners and are offered to nurses across Australia working in acute, forensic services, child and adolescent, aged mental health, addictions, homelessness teams and consultation liaison services.",AUD,[],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc268,yes,English
Melbourne,2,no,multinational firms and agencies operating in Australia and overseas / foreign embassies and posts / government departments and agencies / NGOs / localisation industry / private businesses.,Years,,Master of Translating and Interpreting,no,no,,no,IELTS,A,year,,"31,680",,6.5,no,RMIT University,English,,"Use your advanced bilingual skills to join a field that links communities and cultures. As a translator and interpreter, you'll help overcome language barriers in a broad range of professional settings.",AUD,['int_fee is: not applicable'],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc214,no,Humanities and Social Science
Melbourne,2,no,multinational firms and agencies operating in Australia and overseas / foreign embassies and posts / government departments and agencies / NGOs / localisation industry / private businesses.,Years,,Master of Sustainable Practice,no,yes,,no,IELTS,A,year,,191,,6.5,yes,RMIT University,English,,"Explore and extend your understanding of complex sustainability issues with the Master of Sustainable Practice. Develop your skills in solving sustainabilty problems.  Working with like-minded people, you'll collaborate on projects tackling problems in areas such as water usage, energy, sustainable food production and consumption, liveable cities, waste management, climate change, risk management, consumerism, behaviour and transformational change. You'll develop capabilities to achieve sustainable practice by: You'll also explore your views of sustainability, how it affects your employer and ways you can participate in change. Learn how to develop sustainable practice that is based on reflective practice, recognise the Long Now (an idea by Brian Eno) and how we can create realities by first imagining them.  Ideas developed from Brian Eno's 'The Big Here and Long Now'.",AUD,[],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc240,no,Computer Science & Information Technology
Melbourne,2,no,"airline operations planning and management / airline maintenance management and supervision / airport landside and airside operations / airport planning and management
 / aviation safety management / air cargo operations and planning",Years,,Master of Science (Aviation),no,yes,,no,IELTS,A,year,,"39,360",,6.5,no,RMIT University,English,,"The aviation industry is global, driven by changing markets and new technologies, and rapidly expanding. This opens up many and varied career opportunities for suitably educated and motivated professionals. This course is focused on developing your skills to succeed in this exciting & dynamic industry. The course combines core studies spanning the aviation industry with the opportunity to dig deeper in such areas as: During your study, you’ll increase both your understanding of the industry and be exposed to the contemporary issues it faces. You’ll also develop the skills to analyse and implement creative solutions to industry problems, identify opportunities and enhance your leadership and communication skills. A key aspect of the program is the Aviation Research Project where you will expand on the knowledge gained throughout the course and have the opportunity to work on an in-depth qualitative and/or quantitative study that has a technical and/or managerial application within the industry.",AUD,[],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/mc264,no,Aviation
Melbourne,6,no,"airline operations planning and management / airline maintenance management and supervision / airport landside and airside operations / airport planning and management
 / aviation safety management / air cargo operations and planning",Months,,Graduate Certificate in Professional Accounting,no,yes,,no,IELTS,A,year,,"20,160",,6.5,yes,RMIT University,English,,"This accounting course is aimed at graduates of non-accounting disciplines who want to broaden their career prospects. In order to meet accreditation requirements, you will need to complete the Master of Professional Accounting, which includes compulsory curriculum areas designated by CPA Australia and Chartered Accountants Australia and New Zealand or the Master of Professional Accounting (CPA Australia Extension). Our course offers studies in the core areas of accounting and business and social, environmental, cultural and ethical issues that affect contemporary business environments.",AUD,[],no,PG,,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/graduate-certificates/gc119,no,Engineering
